Index,id,filename,title,panonorth,view_pan,forword,backword,left,right,fwdNode,BwdNode,leftNode,rightNode
1,node1,equi/f-b2/DSCN0287.JPG,1st Floor - B2 – Ladies Toilet,0,0,FALSE,FALSE,FALSE,FALSE,0,0,0,0
2,node2,equi/f-b2/DSCN0286.JPG,1st Floor - B2 – Hallway-1,0,180,FALSE,TRUE,FALSE,FALSE,0,node3,0,0
3,node3,equi/f-b2/DSCN0288.JPG,1st Floor - B2 – Hallway-2,0,180,TRUE,TRUE,FALSE,FALSE,node2,node4,0,0
4,node4,equi/f-b2/DSCN0289.JPG,1st Floor - B2 – Hallway-3,0,180,TRUE,FALSE,FALSE,FALSE,node3,0,0,0
5,node5,equi/f-b2/DSCN0720.JPG,1st Floor - B2 – Equipment Room – Suite 36-1,0,0,TRUE,FALSE,FALSE,TRUE,node6,0,0,node9
6,node6,equi/f-b2/DSCN0721.JPG,1st Floor - B2 – Equipment Room – Suite 36-2,0,0,TRUE,TRUE,FALSE,FALSE,node7,node5,0,0
7,node7,equi/f-b2/DSCN0722.JPG,1st Floor - B2 – Equipment Room – Suite 36-3,0,0,TRUE,TRUE,FALSE,FALSE,node8,node6,0,0
8,node8,equi/f-b2/DSCN0723.JPG,1st Floor - B2 – Equipment Room – Suite 36-4,0,180,FALSE,TRUE,FALSE,TRUE,0,node7,0,node12
9,node9,equi/f-b2/DSCN0724.JPG,1st Floor - B2 - Equipment Room - Suite 37/38-1,0,0,TRUE,FALSE,TRUE,TRUE,node10,0,node5,0
10,node10,equi/f-b2/DSCN0725.JPG,1st Floor - B2 - Equipment Room - Suite 37/38-2,0,0,TRUE,TRUE,FALSE,FALSE,node11,node9,0,0
11,node11,equi/f-b2/DSCN0726.JPG,1st Floor - B2 - Equipment Room - Suite 37/38-3,0,0,TRUE,TRUE,FALSE,FALSE,node12,node10,0,0
12,node12,equi/f-b2/DSCN0727.JPG,1st Floor - B2 - Equipment Room - Suite 37/38-4,0,180,FALSE,TRUE,TRUE,TRUE,0,node11,node8,0
